part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
fan_blisk_1,01 Fan,titanium,19,152.5,866.3,868.6
fan_blisk_2,01 Fan,titanium,31,103.0,840.7,842.9
fan_drum,01 Fan,titanium,1,89.0,437.1,437.1
spinner,01 Fan,titanium,1,228.0,256.0,256.0
vanes_fan_s1,01 Fan,titanium,41,83.0,860.2,860.2
vanes_fan_s2,01 Fan,titanium,53,85.5,830.7,830.7
blades_hpc_r1,02 Compressor,titanium,36,48.5,633.5,633.5
blades_hpc_r2,02 Compressor,titanium,42,42.4,628.2,628.6
blades_hpc_r3,02 Compressor,titanium,48,36.3,623.3,623.3
blades_hpc_r4,02 Compressor,nickel,54,31.3,620.3,620.5
blades_hpc_r5,02 Compressor,nickel,64,25.2,618.2,618.2
blades_hpc_r6,02 Compressor,nickel,76,20.2,616.5,616.5
cdfs_blisk,02 Compressor,titanium,38,100.1,763.7,763.7
hp_front_drum,02 Compressor,titanium,1,202.5,564.0,564.0
hpc_drum,02 Compressor,titanium,8,582.2,590.0,590.0
vanes_cdfs,02 Compressor,titanium,61,67.6,763.9,763.9
vanes_hpc_igv,02 Compressor,nickel,45,124.1,644.0,644.0
vanes_hpc_s1,02 Compressor,nickel,55,54.6,637.0,636.6
vanes_hpc_s2,02 Compressor,nickel,61,49.4,631.9,631.9
vanes_hpc_s3,02 Compressor,nickel,67,44.1,627.6,627.3
vanes_hpc_s4,02 Compressor,nickel,75,38.5,625.4,625.1
vanes_hpc_s5,02 Compressor,nickel,89,31.2,623.4,623.4
vsv_actuation,02 Compressor,steel,162,242.6,672.0,672.0
combustor_dome,03 Combustor,nickel_hot,1,10.0,691.7,691.7
combustor_inner_case,03 Combustor,nickel,1,340.0,590.0,590.0
combustor_liner_inner,03 Combustor,cmc,1,256.0,524.0,524.0
combustor_liner_outer,03 Combustor,cmc,1,256.0,700.0,700.0
combustor_mount_pins,03 Combustor,casing,36,12.0,750.0,740.7
diffuser,03 Combustor,nickel,90,28.0,622.0,621.8
fuel_manifold,03 Combustor,steel,1,20.0,969.5,969.5
fuel_nozzles,03 Combustor,steel,36,42.0,946.6,958.0
igniters,03 Combustor,steel,4,26.0,866.1,88.9
swirlers,03 Combustor,nickel_hot,198,26.0,641.1,650.0
blades_hpt_r,04 Turbines,nickel_hot,56,48.0,663.4,663.4
blades_lpt_r,04 Turbines,nickel_hot,46,60.6,729.3,729.8
hpt_disc,04 Turbines,nickel,2,92.6,524.0,524.0
lpt_disc,04 Turbines,nickel,2,70.5,501.7,501.7
vanes_hpt_ngv,04 Turbines,cmc,37,65.0,658.5,658.5
vanes_mtf,04 Turbines,nickel_hot,17,118.0,716.0,716.0
ab_fuel_control,05 Augmentor,steel,7,266.0,120.0,113.1
ab_fuel_manifold,05 Augmentor,steel,19,108.0,982.0,982.0
ab_igniter,05 Augmentor,steel,3,34.0,116.4,183.8
ab_spray_rings,05 Augmentor,inconel,147,106.0,732.0,732.0
ab_spraybars,05 Augmentor,inconel,224,50.0,951.7,951.7
augmentor_case,05 Augmentor,cmc,1,830.0,868.0,868.0
augmentor_liner,05 Augmentor,cmc,1,650.0,856.0,856.0
flameholder,05 Augmentor,cmc,35,46.3,844.0,844.0
mixer,05 Augmentor,nickel_hot,1,180.0,829.0,829.0
tailcone,05 Augmentor,cmc,1,544.0,494.0,494.0
nozzle_actuators,06 Nozzle,steel,24,200.0,894.1,894.1
nozzle_conv_flaps,06 Nozzle,cmc,32,180.0,883.9,883.9
nozzle_conv_seals,06 Nozzle,cmc,16,179.0,843.6,843.6
nozzle_div_flaps,06 Nozzle,cmc,32,220.0,730.1,730.1
nozzle_div_links,06 Nozzle,steel,48,60.0,803.0,803.0
nozzle_div_seals,06 Nozzle,cmc,16,219.0,693.0,693.0
nozzle_ext_flaps,06 Nozzle,inconel,16,400.0,940.0,940.0
nozzle_hinges,06 Nozzle,steel,48,200.0,945.6,945.6
nozzle_static_ring,06 Nozzle,inconel,48,100.0,980.0,980.0
nozzle_unison_ring,06 Nozzle,inconel,17,16.0,900.0,900.0
swivel_bearing_1,06 Nozzle,steel,151,24.0,1020.0,1020.0
swivel_bearing_2,06 Nozzle,steel,151,429.1,941.7,1020.0
swivel_bearing_3,06 Nozzle,steel,151,429.1,941.7,1020.0
