name,collection,module,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,r_max_mm,spool,spin
ab_fuel_control,05 Augmentor,augmentor,steel,808,734,2080.0,2346.0,-250.7,-130.7,-525.8,-412.8,549.4,,
ab_fuel_manifold,05 Augmentor,augmentor,steel,6080,5952,2241.0,2349.0,-491.0,491.0,-491.0,491.0,491.0,,
ab_igniter,05 Augmentor,augmentor,steel,96,54,2445.0,2479.0,154.1,270.5,273.7,457.6,522.1,,
ab_spray_rings,05 Augmentor,augmentor,inconel,8064,7200,2244.0,2350.0,-366.0,366.0,-366.0,366.0,366.0,,
ab_spraybars,05 Augmentor,augmentor,inconel,4096,2496,2244.0,2294.0,-475.9,475.9,-475.9,475.9,484.0,,
augmentor_case,05 Augmentor,augmentor,cmc,5760,5760,2020.0,2850.0,-434.0,434.0,-434.0,434.0,434.0,,
augmentor_liner,05 Augmentor,augmentor,cmc,51707,36673,2200.0,2850.0,-428.0,428.0,-428.0,428.0,428.0,,
blades_hpc_r1,02 Compressor,compressor,titanium,13464,12312,831.5,880.0,-316.8,316.8,-316.8,316.8,317.0,hp,-1.0
blades_hpc_r2,02 Compressor,compressor,titanium,15708,14364,953.6,996.0,-314.1,314.1,-314.3,314.3,314.3,hp,-1.0
blades_hpc_r3,02 Compressor,compressor,titanium,17952,16416,1063.7,1100.0,-311.6,311.6,-311.6,311.6,311.8,hp,-1.0
blades_hpc_r4,02 Compressor,compressor,nickel,20196,18468,1160.7,1192.0,-310.2,310.2,-310.2,310.2,310.2,hp,-1.0
blades_hpc_r5,02 Compressor,compressor,nickel,23936,21888,1244.8,1270.0,-309.1,309.1,-309.1,309.1,309.2,hp,-1.0
blades_hpc_r6,02 Compressor,compressor,nickel,28424,25992,1317.8,1338.0,-308.2,308.2,-308.2,308.2,308.3,hp,-1.0
blades_hpt_r,04 Turbines,turbine,nickel_hot,66248,38360,1760.0,1808.0,-331.7,331.7,-331.7,331.7,332.0,hp,-1.0
blades_lpt_r,04 Turbines,turbine,nickel_hot,17204,15732,1947.4,2008.0,-364.6,364.6,-364.9,364.9,365.0,lp,1.0
bleed_valve,09 Accessories,accessories,titanium,224,122,450.0,544.0,-40.0,40.0,423.0,528.0,529.5,,
brg_1_lp_roller,08 Spools and bearings,spools,steel,2030,2180,219.0,241.0,-100.0,100.0,-100.0,100.0,100.0,,
brg_2_lp_ball,08 Spools and bearings,spools,steel,3290,3440,442.8,467.2,-100.0,100.0,-100.0,100.0,100.0,,
brg_3_hp_ball,08 Spools and bearings,spools,steel,4228,4448,515.8,544.2,-158.0,158.0,-158.0,158.0,158.0,,
brg_4_hp_roller,08 Spools and bearings,spools,steel,2430,2660,1834.0,1856.0,-156.0,156.0,-156.0,156.0,156.0,,
brg_5_lp_roller,08 Spools and bearings,spools,steel,2080,2240,1894.0,1916.0,-98.0,98.0,-98.0,98.0,98.0,,
case_combustor,07 Frames and casings,combustor,casing,14720,14720,1340.0,1686.0,-382.0,382.0,-382.0,382.0,382.0,,
case_fan,07 Frames and casings,fan,casing,9600,9600,-8.0,425.0,-446.0,446.0,-446.0,446.0,446.0,,
case_hpc,07 Frames and casings,compressor,casing,9600,9600,780.0,1340.0,-327.0,327.0,-327.0,327.0,327.0,,
case_outer_aft,07 Frames and casings,frames,inconel,13120,13120,1360.0,2850.0,-470.0,470.0,-470.0,470.0,470.0,,
case_outer_fwd,07 Frames and casings,frames,casing,8320,8320,425.0,1360.0,-446.0,446.0,-446.0,446.0,446.0,,
case_ribs,07 Frames and casings,frames,casing,7936,7776,446.0,2836.0,-476.0,476.0,-476.0,476.0,476.0,,
case_turbine,07 Frames and casings,turbine,casing,13440,13440,1686.0,2020.0,-382.0,382.0,-382.0,382.0,382.0,,
cdfs_blisk,02 Compressor,compressor,titanium,17624,16472,546.0,646.1,-381.8,381.8,-381.8,381.8,382.4,hp,-1.0
combustor_dome,03 Combustor,combustor,nickel_hot,1816,1192,1430.0,1440.0,-345.8,345.8,-345.8,345.8,345.9,,
combustor_inner_case,03 Combustor,combustor,nickel,1920,1920,1346.0,1686.0,-295.0,295.0,-295.0,295.0,295.0,,
combustor_liner_inner,03 Combustor,combustor,cmc,6664,5952,1430.0,1686.0,-262.0,262.0,-262.0,262.0,262.0,,
combustor_liner_outer,03 Combustor,combustor,cmc,6648,5944,1430.0,1686.0,-350.0,350.0,-350.0,350.0,350.0,,
combustor_mount_pins,03 Combustor,combustor,casing,864,504,1458.0,1470.0,-375.0,375.0,-370.3,370.3,375.0,,
